filename,original_local_path,local_path,content_type,pages,association,font_families,bytes,sha256,source_url
breathe-image-09.jpg,/assets/1d52e9398cec444f5107.jpg,/assets/images/projects/breathe/breathe-image-09.jpg,image/jpeg,/breathe,breathe,,68969,f2035f27448ebf42a00dec409f1b51f21c40277ef3acf29bebea33287b45e1a2,https://static.wixstatic.com/media/430132_097944e334dc4776bb6365e377486264~mv2.jpg
dear-water-image-01.jpg,/assets/9c1d6fe31e6ac265fa1e.jpg,/assets/images/projects/dear-water/dear-water-image-01.jpg,image/jpeg,/; /dear-water; /projects,dear-water,,1215247,b3e70f74cb6c091a8a3f32f73f8ed701deb006741352eb31479a687235432b07,https://static.wixstatic.com/media/430132_01da8fdd469048459bc26a0f3400923d~mv2.jpg
dear-water-image-02.jpg,/assets/ebb96eef2c874d8b63da.jpg,/assets/images/projects/dear-water/dear-water-image-02.jpg,image/jpeg,/dear-water,dear-water,,1506708,586ad999ad725117cd51a8b44a226d8407a0a00ff434e0ca2a4351d4a51dcdb1,https://static.wixstatic.com/media/430132_a8f7dd3ebb3847f4846c7accf3bbfcf7~mv2.jpg
dear-water-image-03.jpg,/assets/d057a187ef66fdbf2938.jpg,/assets/images/projects/dear-water/dear-water-image-03.jpg,image/jpeg,/dear-water,dear-water,,1680471,06b6af2695703f28b91269df167b56701adeda43a545ec067b466d07a3349a3f,https://static.wixstatic.com/media/430132_76d9f10988c6427c8c503c62bf9492a7~mv2.jpg
dear-water-image-04.jpg,/assets/ec315522642ba0fe6651.jpg,/assets/images/projects/dear-water/dear-water-image-04.jpg,image/jpeg,/dear-water,dear-water,,951429,aea81400f2d0f22347f2f3605ab2090e0c10928c67965dd54e192bf9496fe1f6,https://static.wixstatic.com/media/430132_4022c0936e0549cb8845f17a845fd2ac~mv2.jpg
maslows-hierarchy-of-needs-image-01.jpg,/assets/93734412605dbdca604e.jpg,/assets/images/projects/maslows-hierarchy-of-needs/maslows-hierarchy-of-needs-image-01.jpg,image/jpeg,/; /projects,maslows-hierarchy-of-needs,,175742,c569e2dd4a104b8e869c4b4d58ca65e50fc3a547c03e62aa57c72a0b9292624a,https://static.wixstatic.com/media/430132_19d4340bf2e0402f8bbf39f033237631~mv2.jpg
maslows-hierarchy-of-needs-image-02.jpg,/assets/d3244c47c50afc392ffd.jpg,/assets/images/projects/maslows-hierarchy-of-needs/maslows-hierarchy-of-needs-image-02.jpg,image/jpeg,/maslows-hierarchy-of-needs,maslows-hierarchy-of-needs,,4683057,9aa8f8bdb12584d7c7301528f08a4a49ddd5c43a9178c613c9b8c0b63b67a9fe,https://static.wixstatic.com/media/430132_a3ca35efcf8b48e4b583f9b04b9b4d0b~mv2.jpg
maslows-hierarchy-of-needs-image-03.jpg,/assets/b4f375f21e6b40c9169e.jpg,/assets/images/projects/maslows-hierarchy-of-needs/maslows-hierarchy-of-needs-image-03.jpg,image/jpeg,/maslows-hierarchy-of-needs,maslows-hierarchy-of-needs,,5042491,c85a73762b118871e687d128f7fb04da7d5879676dbc282fbe164d8331175f86,https://static.wixstatic.com/media/430132_c0cd95d2cb3f429a95a5d2f915bd5099~mv2.jpg
maslows-hierarchy-of-needs-image-04.jpg,/assets/012bf89999a62b52f730.jpg,/assets/images/projects/maslows-hierarchy-of-needs/maslows-hierarchy-of-needs-image-04.jpg,image/jpeg,/maslows-hierarchy-of-needs,maslows-hierarchy-of-needs,,1459966,b7fd18d3c79688447df227b7c08e68ba0a84afeba8dcb9c3e86d69a49670eb9f,https://static.wixstatic.com/media/430132_bf0a98960e5c4097aa08314000a73a76~mv2.jpg
maslows-hierarchy-of-needs-image-05.jpg,/assets/bc967a7dcd613f243e95.jpg,/assets/images/projects/maslows-hierarchy-of-needs/maslows-hierarchy-of-needs-image-05.jpg,image/jpeg,/maslows-hierarchy-of-needs,maslows-hierarchy-of-needs,,4850296,1b9ddb2e444fecc3f06ac0102fc92b3b86b657248eb5a37118a398b1f2e85293,https://static.wixstatic.com/media/430132_bc51e146e423479b80562ed0c2816795~mv2.jpg
